postepowanie;plik;ext;bytes;text_chars;relevant_name
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/SWZ_odpPszok/Umowa Załącznik nr 4 do SWZ.txt;.txt;41567;39417;True
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/SWZ_odpPszok/Wniosek.docx;.docx;40812;18095;True
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/SWZ_odpPszok/ZAŁĄCZNIK NR 2 DO SWZ.docx;.docx;17397;2447;True
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/SWZ_odpPszok/ZAŁĄCZNIK NR 6 DO SWZ - ośw odbiór odp kom od mieszkaniec.docx;.docx;17321;2450;True
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/doPublikacji/SWZ_odbOdpKomPszok.pdf;.pdf;16429169;19;True
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/doPublikacji/ZAŁĄCZNIK NR 2 DO SWZ - oświadczenie art 125 uPzp.docx;.docx;17909;2444;True
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/doPublikacji/ZAŁĄCZNIK NR 3 DO SWZ - oświadczenie o grupie kapitałowej.docx;.docx;15369;1728;True
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/doPublikacji/ZAŁĄCZNIK NR 4 do SWZ – Projektowane postanowienia umowy.docx;.docx;55218;38258;True
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/doPublikacji/ZAŁĄCZNIK NR 5 do SWZ - OPZ.docx;.docx;3188686;10585;True
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/doPublikacji/ZAŁĄCZNIK NR 6 DO SWZ - ośw odbiór odp z Pszok.docx;.docx;16615;1313;True
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/doPublikacji/Załącznik nr 1a do SWZ - Formularzu kalkulacji ceny ofertowej.xls;.xls;40448;0;True
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/doPublikacji/ogłoszenie_08df189a-6e6e-44ba-b7e0-6500014a966a.pdf;.pdf;80072;27515;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/1_Protokół w tr podst wB1.docx;.docx;45950;32015;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/Pytania/1_Pytania i udzielone odpowiedzi wB1.docx;.docx;95015;4724;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/Pytania/2_Pytania i udzielone odpowiedzi wB1.docx;.docx;93042;2675;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/Pytania/Pyt 1/08de9c7f-b9b7-17ea-d377-8b000110e8e9-wiadomosc.pdf;.pdf;36552;918;False
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/Pytania/Pyt 1/1_Pytania i udzielone odpowiedzi.pdf;.pdf;2125236;3;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/Pytania/Pyt 1/Pytania do Zamawiającego z dnia 17.04.2026-sig.pdf;.pdf;1962209;3345;False
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/Pytania/Pyt 1/odpowiedzi na pytania PRID.docx;.docx;15058;1629;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/Pytania/Pyt 2/08dea115-2e9a-ed51-d377-8b000113ad4d-wiadomosc.pdf;.pdf;36894;1152;False
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/Pytania/Pyt 2/2_Pytania i udzielone odpowiedzi.pdf;.pdf;1184013;2;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/Pytania/Pyt 2/RYMANÓW.pdf;.pdf;410206;1;False
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/SWZ woda Bzianka.docx;.docx;103205;80132;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/ogł o wyn post umowa08deb564-5e21-a295-4b6e-b7000122cfb6.pdf;.pdf;68038;7631;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/otwarccciee/2_art 56 ust 3 oświad w przed dniem otwarcia ofert.docx;.docx;17050;7004;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/otwarccciee/3_Info o kwocie.docx;.docx;88518;861;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/otwarccciee/3_Infoa z OTWARCIA wB1.docx;.docx;93761;3700;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/otwarccciee/4_Info - wybór oferty RIN.271.1.2.2026 w bzianka.docx;.docx;96783;3116;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/otwarccciee/4_Wezwanie - do złożenia oświadczeń wB1.docx;.docx;95711;3348;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/otwarccciee/Informacja o kwocie wB1.pdf;.pdf;451407;1;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/otwarccciee/Informacja o wyborze oferty wB1.pdf;.pdf;1883159;3;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/otwarccciee/Informacja z otwarcia ofert wB1.pdf;.pdf;1375096;2;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/otwarccciee/Roboczy_plik_xml.xml;.xml;8834;8764;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/otwarccciee/inf do prezesa 08dea44f-5c89-9d53-d377-8b00011579c7-wiadomosc.pdf;.pdf;36302;919;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/otwarccciee/informacja_do_prezesa.xml;.xml;10249;10170;True
RIN.271.1.2.2026 Woda Bzianka;RIN.271.1.2.2026 Woda Bzianka/otwarccciee/odp na wezwanie ROLWOD/08dea4f5-526d-32e6-d377-8b000115e559-wiadomosc.pdf;.pdf;39466;1951;True
